game id,Game Name,Provider,link
00000004-0000-5000-9000-000000000104,More Lucky & Wild,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000104.png
00000004-0000-5000-9000-000000000105,Mythical Treasure,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000105.png
00000004-0000-5000-9000-000000000106,Ocean Rush,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000106.png
00000004-0000-5000-9000-000000000107,Oil Company II,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000107.png
00000004-0000-5000-9000-000000000108,Olympus Glory,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000108.png
00000004-0000-5000-9000-000000000109,Penguin Style,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000109.png
00000004-0000-5000-9000-000000000110,Pin Up Queens,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000110.png
00000004-0000-5000-9000-000000000111,Queen of Rio,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000111.png
00000004-0000-5000-9000-000000000112,Rainbow Luck,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000112.png
00000004-0000-5000-9000-000000000113,Rainbow Queen,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000113.png
00000004-0000-5000-9000-000000000114,Retro Cabaret,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000114.png
00000004-0000-5000-9000-000000000115,Retro Style,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000115.png
00000004-0000-5000-9000-000000000116,Rich World,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000116.png
00000004-0000-5000-9000-000000000117,Rise of RA,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000117.png
00000004-0000-5000-9000-000000000119,Route of Mexico,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000119.png
00000004-0000-5000-9000-000000000120,Royal Secrets,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000120.png
00000004-0000-5000-9000-000000000121,Secrets of Alchemy,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000121.png
00000004-0000-5000-9000-000000000122,Shining Crown,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000122.png
00000004-0000-5000-9000-000000000123,Spanish Passion,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000123.png
00000004-0000-5000-9000-000000000124,Summer Bliss,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000124.png
00000004-0000-5000-9000-000000000125,Super 20,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000125.png
00000004-0000-5000-9000-000000000126,Supreme Dice,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000126.png
00000004-0000-5000-9000-000000000127,Supreme Hot,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000127.png
00000004-0000-5000-9000-000000000128,The Big Journey,Amusnet,https://cdn.cashpot.ro/cashpot/t1/thumbnail_games/00000004-0000-5000-9000-000000000128.png
